coin,snapshot height,balance
BTC(ALL),765333,25736.87098
ETH(ALL),-,143403.1463
ETH,16083851,125887.256
ETH-Arbitrum,42480854,7785.838076
ETH-Optimism,43950280,9730.052181
USDT(ALL),-,748602233.9
USDT-Avalanche C-Chain,23040384,56028922.25
USDT-TRC20,46412262,28005623.75
USDT-ETH,16083851,664567687.9
TRX(ALL),46412262,9668619974
HT(ALL),16083851,191262859.9

coin,address,snapshot height,balance,message,signature
ETH,0x1062a747393198f70f71ec65a582423dba7e5ab3,16083851,268.8089729,King will be back!,0x5c241955c2f482b0ec1770d9d0d64551e7a103945e0e9810aae657d414aa8d5a1c8764d7df149270cc3ceba43e4429bc1c4d8fd611eeb0c5ecf16936238a705001
ETH,0xab5c66752a9e8167967685f1450532fb96d5d24f,16083851,264.140375,King will be back!,0x7888cfc2e1866181fe7f3362e5f53aeaaf5bbacf837422e9a338fe8cc76c6a90202ca31ac421c094888f7c9d1692343913f05810d03a1c5336a754068833253601
ETH,0xdb0e89a9b003a28a4055ef772e345e8089987bfd,16083851,259.1702547,King will be back!,0x38f6b2fb2012180be1c90c146fe70cdaa72fcfd459faf8f923d4bc5512ed23ea4e82b043a5c8f837e5a16709918a462d36703d392830f15fa68bb6285917719a00
ETH,0xfdb16996831753d5331ff813c29a93c76834a0ad,16083851,245.1006606,King will be back!,0x316f1810661b705c08bbcedf56f2666d3118e1cf2e1cab61f13340c3aabe82c512ddf4b3d32a0b65cc7391a8fcbfac869496cfab0d1ac9febbe7b54058ea271e00
ETH,0x46705dfff24256421a05d056c29e81bdc09723b8,16083851,244.0758655,King will be back!,0x06c26e75ec59e142db7bf6914052bda97be5a354e470ad7d0cdfb12681b496f03d76bd77857987cc125356220b1c0f0db5046ecef508ce09c425f337a274824400
ETH,0xfd54078badd5653571726c3370afb127351a6f26,16083851,215.3570925,King will be back!,0xc32d078703073d87e5f3ab8d3d289d54195e51b4a8a6eaa87955eb9f7ac59e797f904c65bb82bf11a669d5d3925fb710470499d11b89777130ad4dd7a8eee7e301
ETH,0x07ef60deca209ea0f3f3f08c1ad21a6db5ef9d33,16083851,203.615204,King will be back!,0x81e8b879e55aad26dc90ed292bc05dbac26d6eaaa80a1bca67d15cb4f3f0559e5a9ce5c26b2cb44e082115f1d0cde34e31fbcdefc50c7d92f57a6f636230c30700
ETH,0x18916e1a2933cb349145a280473a5de8eb6630cb,16083851,202.1486282,King will be back!,0x689e7fe380e267b83b78254ad41b259bcf8ad67eccdeca0336bb5ce4cb63937946a2685bc7f9677bf6570c7f906825b9045c26218bc5f18b97c9f1dbbe23e61901
ETH,0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,16083851,179.6179557,King will be back!,0x8f6304366cfd70c0d86b94ec2133ac7d28d50a66fd5d04606fb52dda8a05e01002fe66ccee508490d2d46689814023d6c794f971df998b96b396ba55f695dfab01
ETH,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,16083851,144.4314787,King will be back!,0xaab74b82dcb07c947c12e68aef334cd915e9a574090163fcf973b13ebd957ed81d3660b729ca4b60eba4d351adb8699f367e8fd1ceabf06d71c0f7d6b3e5e68d01
ETH,0x918800e018a0eeea672740f88a60091c7d327a79,16083851,135.1000315,King will be back!,0x5b372e3701e7dc7bdc690458bd3aa731a9d6c272e61bdc99a18c083d6da9023b0aadeaca7a5635275b99bf04cbff5bf6c9a2fbf45bc45063c6fa4e3f303b3bde01
