coin,snapshot height,balance
BTC(ALL),783345,16024.2999
ETH(ALL),-,98789.53307
ETH,16948223,94696.87014
ETH-Arbitrum,75644125,3357.2245
ETH-Optimism,85201870,735.4384369
USDT(ALL),-,564371204.1
USDT-Avalanche C-Chain,28141689,8379706.959
USDT-TRC20,49888567,442045794.2
USDT-ETH,16948223,113945703
TRX(ALL),49888567,9780831937
HT(ALL),16948223,192151129.9

coin,address,snapshot height,balance,message,signature
TRX,THZovMcKoZaV9zzFTWteQYd2f3NEvnzxAM,49888567,950016274.3,huobi,b23b3b34780d5d0a3fb62667aef5d598030660f22f508980bcb4f2fdc192f9d92307d7b73edd52c31fb057ebdb29ea18e304aac94a55c5dcd747946bfe5acc4d01
TRX,TZ1SsapyhKNWaVLca6P2qgVzkHTdk6nkXa,49888567,971962947.1,huobi,6a8a95f0830edb75eff19aac342c74554f9d027a925c55961cd073c7380dc7802eb1451d4041971397e3f1c330e6d412a8c51ca38e9fe10c21b3fd6c1227a21a01
TRX,TRSXRWudzfzY4jH7AaMowdMNUXDkHisbcd,49888567,967387560.5,huobi,2583d69f88055b1cab1905ea4f30845edd6b7bd5be58b3e9117ec1b13bfc501052872139bdb95749aa3132530757f589928f45106d7566555767952825e77ef600
ETH,0xa929022c9107643515f5c777ce9a910f0d1e490c,16948223,13631.653677,-,-
ETH,0x6b2286fc3a9265bab3f064808022aca54de4b6ce,-,-,King will be back!,0xe577944a885af41cc6836b1fbf86b8ee247974405c7ec08380434e76c2ea7a7a32fbc4447da2207e150bd82e62252debf1ce929405df696d927145b2794f7ef700
ETH,0x3d655889d197125fb90dcb72e4a287a8410ed1b9,-,-,King will be back!,0x6aad247814351bae18f5b9c033ce99870e49f1a98bc6c7ba48749995a3e6f059542efc3e59ea31d02e19a1333667a7e26e6ad158a8bb98fbce34a50b0938abe700
ETH,0x18709e89bd403f470088abdacebe86cc60dda12e,16948223,69999.94361,huobi,0x68a79a40adfb16777e49206d60f9cd11de0fbaf3acad5be1e30dd955182475f43255dfec5fede4dc97fcf1fbce1583dd05ee419bf3939ca95919aff931eec41d01
ETH,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,16948223,1.946964136,King will be back!,0x6ec9074bbac7a827d09fb9b88abfbbb5f918948afa7af03771e259f92d4942be5dff0749d5842b7079011548a5ad02c0db67cd177743a615833b8291daac40a301
ETH,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,16948223,0.618878915,King will be back!,0xf613210f39e19a9c7a63d353d5c0fa0b2ee694f0bd25c6cd197c4de773870c4360e51e10c3c512ca2217bccb1516b4f87fd1937b85ce420f9c8ff70140543ee701
ETH,0xeee28d484628d41a82d01e21d12e2e78d69920da,16948223,320.9160598,King will be back!,0x1d8a0ecc9176c0f63462953876737c708945171c73a71692da1e1790da425c23757fb4638b09f7487702fa04aa98a37523a6992c1c319cf9f14a4c673d24fbf300
ETH,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,16948223,309.5176059,King will be back!,0x835985155d138b5b9300b92651dfa940ac95af5520774233e4001ab420a4898e384e2f54187ee64e4f08934327ed78882dedcd214b77c7f4236d4a03d226a6b700
ETH,0x5c985e89dde482efe97ea9f1950ad149eb73829b,16948223,286.1975214,King will be back!,0xa88ae539661e8e94f622f455e22cd7a468f0d9dab00b7397290fb1e3b5b79e3b2f9311130ba3cc2d7ac7f5f77d6e7984a9d4fa51f4493c65efa72eaac4b0065101
ETH,0x34189c75cbb13bdb4f5953cda6c3045cfca84a9e,16948223,280.8439685,King will be back!,0xe19bc2cfb0db9102152895d2657e1d6dc20b6b10f2f30ea62b566efba91d2a7559520c5663da33ba1597c9aa5761815cf0564fcf890b58129300dee8d94d476600
ETH,0x1062a747393198f70f71ec65a582423dba7e5ab3,16948223,264.8132518,King will be back!,0x5c241955c2f482b0ec1770d9d0d64551e7a103945e0e9810aae657d414aa8d5a1c8764d7df149270cc3ceba43e4429bc1c4d8fd611eeb0c5ecf16936238a705001
ETH,0xab5c66752a9e8167967685f1450532fb96d5d24f,16948223,262.9806065,King will be back!,0x7888cfc2e1866181fe7f3362e5f53aeaaf5bbacf837422e9a338fe8cc76c6a90202ca31ac421c094888f7c9d1692343913f05810d03a1c5336a754068833253601
ETH,0xdb0e89a9b003a28a4055ef772e345e8089987bfd,16948223,185.2542467,King will be back!,0x38f6b2fb2012180be1c90c146fe70cdaa72fcfd459faf8f923d4bc5512ed23ea4e82b043a5c8f837e5a16709918a462d36703d392830f15fa68bb6285917719a00
ETH,0xfdb16996831753d5331ff813c29a93c76834a0ad,16948223,234.1258095,King will be back!,0x316f1810661b705c08bbcedf56f2666d3118e1cf2e1cab61f13340c3aabe82c512ddf4b3d32a0b65cc7391a8fcbfac869496cfab0d1ac9febbe7b54058ea271e00
ETH,0x46705dfff24256421a05d056c29e81bdc09723b8,16948223,158.9131989,King will be back!,0x06c26e75ec59e142db7bf6914052bda97be5a354e470ad7d0cdfb12681b496f03d76bd77857987cc125356220b1c0f0db5046ecef508ce09c425f337a274824400
ETH,0xfd54078badd5653571726c3370afb127351a6f26,16948223,152.5052582,King will be back!,0xc32d078703073d87e5f3ab8d3d289d54195e51b4a8a6eaa87955eb9f7ac59e797f904c65bb82bf11a669d5d3925fb710470499d11b89777130ad4dd7a8eee7e301
ETH,0x07ef60deca209ea0f3f3f08c1ad21a6db5ef9d33,16948223,120.6544603,King will be back!,0x81e8b879e55aad26dc90ed292bc05dbac26d6eaaa80a1bca67d15cb4f3f0559e5a9ce5c26b2cb44e082115f1d0cde34e31fbcdefc50c7d92f57a6f636230c30700
ETH,0x18916e1a2933cb349145a280473a5de8eb6630cb,16948223,148.9741851,King will be back!,0x689e7fe380e267b83b78254ad41b259bcf8ad67eccdeca0336bb5ce4cb63937946a2685bc7f9677bf6570c7f906825b9045c26218bc5f18b97c9f1dbbe23e61901
ETH,0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,16948223,178.8793376,King will be back!,0x8f6304366cfd70c0d86b94ec2133ac7d28d50a66fd5d04606fb52dda8a05e01002fe66ccee508490d2d46689814023d6c794f971df998b96b396ba55f695dfab01
ETH,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,16948223,143.6205946,King will be back!,0xaab74b82dcb07c947c12e68aef334cd915e9a574090163fcf973b13ebd957ed81d3660b729ca4b60eba4d351adb8699f367e8fd1ceabf06d71c0f7d6b3e5e68d01
ETH,0x918800e018a0eeea672740f88a60091c7d327a79,16948223,135.0989483,King will be back!,0x5b372e3701e7dc7bdc690458bd3aa731a9d6c272e61bdc99a18c083d6da9023b0aadeaca7a5635275b99bf04cbff5bf6c9a2fbf45bc45063c6fa4e3f303b3bde01
ETH,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,16948223,121.6251081,King will be back!,0x7a499963f28d36b25a5f28aefa2a63e4d9ddc66b819165c3bb6d9bd057327c1f6135cff446e25dc6bd6822ce9524916a923fe38b988bb9564de84c0815b85c7601
ETH,0x42dc966b7ecc3c6cc73e7bc04862859d5bddce65,16948223,129.0366635,King will be back!,0x9802b6e8d91158f42dd23a274121aab30ab89a94a3050e238f7e917d544971ee3c5945f84da9cfc17d23358aa1ae596b613d9752255deb846311973850a1896600
ETH,0xe8d8a02601f54acb6fb69537be1f1d7cc76ccd8c,16948223,128.5414871,King will be back!,0xde46448136e3c1d5cbe5858627c2f82774ce7bf97943f9b19be37b2ebe5c056330d01f508d2050d62df4bff3a0786cd5c12e2979faaaedba70bff1f4585481c101
ETH,0xf881bcb3705926cea9c598ab05a837cf41a833a9,16948223,100.3047202,King will be back!,0x696f3457dc6a32d9c2abad886dc6249876d5f4ac942bbd09adfcd0064f7f0aae4ca6fe2ac6736fa691604ad44845964018137cdfacf13de6ceacef381863527001
ETH-Arbitrum,0xf2dbc42875e7764edbd89732a15214a9a0deb085,75644125,3357.2245,King will be back!,0x79b147ed5fbee1269cf51820576c97b6ee555b7120ac100f6e4207e6a0b75cc6758d0f0efa04baef66bd074e780a5dbf6a9bd2f0663bbff9587a4b3218002fd000
ETH-Optimism,0x9ef21be1c270aa1c3c3d750f458442397fbffcb6,85201870,735.4384369,King will be back!,0x6b98c9088c452640f905301fdb9c55b075c8ef52a439f01c40c0388cd797e856352db666167900d8529b104e4ef3929c4e4294d4c1096860ca4c459c4048512f01
USDT-Avalanche C-Chain,0xe195b82df6a797551eb1acd506e892531824af27,28141689,8379706.959,King will be back!,0xbc7e838dcc1ef4ef5ad8dec20b6d9dadb432cd610b7fdb702b754aa9e8f232ea52db0f310b2bf0d6f85202f252aee6d095ed7921b2f1aaf7c3b5ca26f5c37ac401
USDT-TRC20,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,49888567,400000001.3,huobi,8fa14929f7d46128d4b0b89fde15396ff1f322f516b10677c523d1e9b9b52a027f85234f880aacb806631d6f2102e5947408415f2d5531d81924215964c78c8c01
USDT-TRC20,TNaRAoLUyYEV2uF7GUrzSjRQTU8v5ZJ5VR,49888567,42045792.93,King will be back!,0x9c98138fff60f026963fcc271072966b6f1f9432010eed8f5615163c31e6dd7a4f54d132a0f8df84a1c787655d777758f597ff379247abed8e7e16b1a20ea8161c
USDT-ETH,0xa929022c9107643515f5c777ce9a910f0d1e490c,16948223,53161163,-,-
USDT-ETH,0x6b2286fc3a9265bab3f064808022aca54de4b6ce,-,-,King will be back!,0xe577944a885af41cc6836b1fbf86b8ee247974405c7ec08380434e76c2ea7a7a32fbc4447da2207e150bd82e62252debf1ce929405df696d927145b2794f7ef700
USDT-ETH,0x3d655889d197125fb90dcb72e4a287a8410ed1b9,-,-,King will be back!,0x6aad247814351bae18f5b9c033ce99870e49f1a98bc6c7ba48749995a3e6f059542efc3e59ea31d02e19a1333667a7e26e6ad158a8bb98fbce34a50b0938abe700
USDT-ETH,0x46705dfff24256421a05d056c29e81bdc09723b8,16948223,53260065.87,King will be back!,0x06c26e75ec59e142db7bf6914052bda97be5a354e470ad7d0cdfb12681b496f03d76bd77857987cc125356220b1c0f0db5046ecef508ce09c425f337a274824400
USDT-ETH,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,16948223,20587.76394,King will be back!,0x7a499963f28d36b25a5f28aefa2a63e4d9ddc66b819165c3bb6d9bd057327c1f6135cff446e25dc6bd6822ce9524916a923fe38b988bb9564de84c0815b85c7601
USDT-ETH,0xeee28d484628d41a82d01e21d12e2e78d69920da,16948223,3884.349829,King will be back!,0x1d8a0ecc9176c0f63462953876737c708945171c73a71692da1e1790da425c23757fb4638b09f7487702fa04aa98a37523a6992c1c319cf9f14a4c673d24fbf300
